"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\DELL\Desktop\peeko-backend\CHANGELOG.md", "Markdown", 0, 8, 0, 0, 0, 8, 16
"c:\Users\DELL\Desktop\peeko-backend\README.md", "Markdown", 0, 3, 0, 0, 0, 2, 5
"c:\Users\DELL\Desktop\peeko-backend\TODO.md", "Markdown", 0, 55, 0, 0, 0, 55, 110
"c:\Users\DELL\Desktop\peeko-backend\api.md", "Markdown", 0, 454, 0, 0, 0, 143, 597
"c:\Users\DELL\Desktop\peeko-backend\nodemon.json", "JSON", 0, 0, 0, 4, 0, 1, 5
"c:\Users\DELL\Desktop\peeko-backend\package-lock.json", "JSON", 0, 0, 0, 3061, 0, 1, 3062
"c:\Users\DELL\Desktop\peeko-backend\package.json", "JSON", 0, 0, 0, 33, 0, 1, 34
"c:\Users\DELL\Desktop\peeko-backend\src\app.ts", "TypeScript", 0, 0, 35, 0, 11, 11, 57
"c:\Users\DELL\Desktop\peeko-backend\src\controllers\commentController.ts", "TypeScript", 0, 0, 102, 0, 30, 19, 151
"c:\Users\DELL\Desktop\peeko-backend\src\controllers\feedbackController.ts", "TypeScript", 0, 0, 109, 0, 30, 19, 158
"c:\Users\DELL\Desktop\peeko-backend\src\controllers\userController.ts", "TypeScript", 0, 0, 130, 0, 37, 25, 192
"c:\Users\DELL\Desktop\peeko-backend\src\controllers\videoController.ts", "TypeScript", 0, 0, 111, 0, 44, 19, 174
"c:\Users\DELL\Desktop\peeko-backend\src\middleware\authentication.ts", "TypeScript", 0, 0, 67, 0, 14, 8, 89
"c:\Users\DELL\Desktop\peeko-backend\src\middleware\checkResourceExists.ts", "TypeScript", 0, 0, 27, 0, 6, 5, 38
"c:\Users\DELL\Desktop\peeko-backend\src\middleware\validation.ts", "TypeScript", 0, 0, 12, 0, 0, 4, 16
"c:\Users\DELL\Desktop\peeko-backend\src\models\comment.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 31
"c:\Users\DELL\Desktop\peeko-backend\src\models\multerSetup.ts", "TypeScript", 0, 0, 3, 0, 3, 3, 9
"c:\Users\DELL\Desktop\peeko-backend\src\models\s3.ts", "TypeScript", 0, 0, 52, 0, 5, 10, 67
"c:\Users\DELL\Desktop\peeko-backend\src\models\user.ts", "TypeScript", 0, 0, 29, 0, 0, 3, 32
"c:\Users\DELL\Desktop\peeko-backend\src\models\video.ts", "TypeScript", 0, 0, 31, 0, 0, 3, 34
"c:\Users\DELL\Desktop\peeko-backend\src\types.ts", "TypeScript", 0, 0, 23, 0, 6, 6, 35
"c:\Users\DELL\Desktop\peeko-backend\tsconfig.json", "JSON with Comments", 12, 0, 0, 0, 89, 9, 110
"Total", "-", 12, 520, 759, 3098, 275, 358, 5022